,abi,primary_naics_code_2017,company_2017,year_2017,business_status_code_2017,company_holding_status_2017,census_tract_2017,year_established_2017,employee_size_location_2017,sales_volume_location_2017,latitude_2017,longitude_2017,employee_size_location_2016,sales_volume_location_2016,neighborhood_avg_property_value,neighborhood_property_crimes,surrounding_neighborhood_avg_property_value,surrounding_neighborhood_property_crimes
0,150832897,44511003,BOCKWINKEL'S,2017,9,,320100,,7.0,1789.0,41.884879999999995,-87.61501,7.0,1858.0,7745.637617387157,5611.0,354.76775754518394,1033.7777777777778
1,151026986,44511003,Y H PROVISION,2017,9,,833000,,20.0,5111.0,41.88456,-87.6553,20.0,5310.0,396.288138612434,2539.0,2899.6601557510758,1565.3333333333333
2,151036118,44511003,GUZMAN GROCERY,2017,9,,841200,,3.0,767.0,41.85565,-87.68117,3.0,796.0,3678.797561611891,805.0,1547.5654808479455,1115.5555555555557
3,151053519,44511006,DANIELSON FOOD PRODUCTS,2017,9,,835500,1939.0,20.0,5111.0,41.81885,-87.63207,20.0,5310.0,90.69532334386948,245.0,461.7675320036489,1240.5
4,151054939,44511003,EL GUERO,2017,9,,841300,1976.0,50.0,12778.0,41.85195,-87.67891,50.0,13276.0,3678.797561611891,805.0,1547.5654808479455,1115.5555555555557
5,151098183,44511003,COMMISSARY INC,2017,9,,80100,,7.0,1789.0,41.907340000000005,-87.62638000000001,7.0,1858.0,600.4747573524162,304.0,861.4568948563892,1578.1666666666667
6,151159159,44511003,ALTA VISTA FOODS,2017,9,,832100,,3.0,767.0,41.95389,-87.65502,3.0,796.0,496.1699403966902,245.0,2351.1592965510354,2036.0
7,151162658,44511003,GNS FOOD & LIQUOR,2017,9,,32100,,4.0,1023.0,41.95671,-87.65212,4.0,1062.0,2078.4985042340963,1481.0,2143.6457532579107,936.8333333333334
8,151164514,44511003,LAKE SHORE COMMISSARIES,2017,9,,60800,,2.0,512.0,41.95413,-87.64596999999999,2.0,531.0,2623.8200888679744,2591.0,2422.392803548667,884.4285714285714
9,151164688,44511002,LAKEVIEW FOODS INC,2017,9,,32100,,5.0,1278.0,41.95671,-87.65473,5.0,1327.0,2078.4985042340963,1481.0,2143.6457532579107,936.8333333333334
10,151175783,44511003,CARNIVAL FOODS,2017,9,,71300,1950.0,28.0,7156.0,41.92028,-87.64093000000001,28.0,7434.0,2323.6412175402515,2194.0,2715.8490429603326,1324.875
11,151189180,44511003,R & A GROCERY,2017,9,,70200,,2.0,512.0,41.9292,-87.64856999999999,2.0,531.0,2323.6412175402515,2194.0,2715.8490429603326,1324.875
12,151193786,44512001,S & S FOOD & LIQUOR,2017,9,,70101,,1.0,256.0,41.92638,-87.64076999999999,1.0,265.0,2323.6412175402515,2194.0,2715.8490429603326,1324.875
13,151208162,44511003,CHICAGO FOOD MARKET,2017,9,,841100,,10.0,2556.0,41.85157,-87.63165,10.0,2655.0,258.2766113098104,235.0,1049.3641529568497,967.2
