,ADDRDELIV,LATITUDE,LONGITUDE,neighborhood
34167,3423 NORTH OCTAVIA AVENUE,41.9422331,-87.80905279999998,Dunning
449722,5523 SOUTH UNIVERSITY AVENUE,41.7943211,-87.597818,Hyde Park
506002,11800 SOUTH SANGAMON STREET,41.679434,-87.645899,West Pullman
15552,6536 NORTH GLENWOOD AVENUE,42.0010443,-87.66593,Rogers Park
216109,1839 SOUTH AVERS AVENUE,41.8559338,-87.7208792,North Lawndale
485050,8012 SOUTH MANISTEE AVENUE,41.7495619,-87.55797640000002,South Chicago
515161,9423 SOUTH ADA STREET,41.7224025,-87.65634229999998,Washington Heights
291001,3146 SOUTH PRINCETON AVENUE,41.8367975,-87.63433979999998,Armour Square
168012,2003 WEST GIDDINGS STREET,41.9676729,-87.6794199,Lincoln Square
36074,5736 WEST IRVING PARK ROAD,41.9533865,-87.7708981,Portage Park
545961,1615 WEST WALTER BURLEY GRIFFIN PLACE,41.7037679,-87.6627166,Beverly
513891,9247 SOUTH PRAIRIE AVENUE,41.7259266,-87.617626,Roseland
343694,5311 SOUTH KEATING AVENUE,41.7963153,-87.7413537,Garfield Ridge
79785,3133 NORTH RUTHERFORD AVENUE,41.93735570000001,-87.79414609999998,Montclare
262140,153 NORTH LAPORTE AVENUE,41.88342100000001,-87.7487646,Austin
378702,4331 SOUTH ALBANY AVENUE,41.8144647,-87.70146770000002,Brighton Park
46720,1951 NORTH WHIPPLE STREET,41.9172601,-87.703744,Logan Square
440817,5037 SOUTH PRAIRIE AVENUE,41.8028042,-87.6190837,Grand Boulevard
145426,3811 NORTH KEDZIE AVENUE,41.9506874,-87.707691,Irving Park
372330,3646 WEST 80TH STREET,41.74800379999999,-87.7139686,Ashburn
400142,1614 EAST 84TH PLACE,41.7416826,-87.5845997,Avalon Park
441727,8049 SOUTH CARPENTER STREET,41.7473187,-87.6497085,Auburn Gresham
297395,1000 WEST 15TH STREET,41.8619359,-87.6516065,"Little Italy, UIC"
275063,1476F SOUTH PRAIRIE AVENUE,41.8626344,-87.6215653,Near South Side
